500026,1,1,CKING
500026,2,1,SVG
500026,3,1,ATM
500026,4,1,ATM
500075,1,1,CKING
500075,2,1,MMDA
500075,3,1,SVG
500075,4,1,ATM
500075,5,1,TRUST
500075,6,1,TRUST
500129,1,1,CKING
500129,2,1,SVG
500129,3,1,IRA
500129,4,1,ATM
500129,5,1,ATM
500256,1,1,CKING
500256,2,1,SVG
500256,3,1,CKCRD
500256,4,1,CKCRD
500341,1,1,CKING
500341,2,1,SVG
500341,3,1,CKCRD
500341,4,1,CKCRD
500350,1,1,CKING
500350,2,1,CD
500350,3,1,CD
500458,1,1,SVG
500458,2,1,ATM
500458,3,1,ATM
500595,1,1,CKING
500595,2,1,SVG
500595,3,1,CD
500595,4,1,TRUST
500595,5,1,TRUST
500743,1,1,CKING
500743,2,1,SVG
500743,3,1,CCRD
500743,4,1,HMEQLC
500743,5,1,MTG
500743,6,1,CKCRD
500743,7,1,CKCRD
500744,1,1,CKING
500744,2,1,CD
500744,3,1,CD
500823,1,1,CKING
500823,2,1,SVG
500823,3,1,CCRD
500823,4,1,PLOAN
500823,5,1,PLOAN
500899,1,1,CKING
500899,2,1,SVG
500899,3,1,CD
500899,4,1,CD
501244,1,1,CKING
501244,2,1,ATM
501244,3,1,ATM
501260,1,1,CKING
501260,2,1,SVG
501260,3,1,CD
501260,4,1,IRA
501260,5,1,ATM
501260,6,1,CCRD
501260,7,1,TRUST
501260,8,1,TRUST
501264,1,1,CKING
501264,2,1,SVG
501264,3,1,SVG
501272,1,1,CKING
501272,2,1,SVG
501272,3,1,CD
501272,4,1,ATM
501272,5,1,ATM
501420,1,1,CKING
501420,2,1,SVG
501420,3,1,SVG
501479,1,1,CKING
501479,2,1,SVG
501479,3,1,SVG
501533,1,1,CKING
501533,2,1,CCRD
501533,3,1,CCRD
501551,1,1,CKING
501551,2,1,SVG
501551,3,1,CD
501551,4,1,ATM
501551,5,1,AUTO
501551,6,1,AUTO
501598,1,1,CKING
501598,2,1,CKING
501601,1,1,CKING
501601,2,1,MMDA
501601,3,1,SVG
501601,4,1,CD
501601,5,1,ATM
501601,6,1,ATM
501648,1,1,CKING
501648,2,1,CKING
501649,1,1,CKING
501649,2,1,SVG
501649,3,1,ATM
501649,4,1,ATM
501702,1,1,CKING
501702,2,1,SVG
501702,3,1,CD
501702,4,1,CD
501760,1,1,SVG
501760,2,1,SVG
501774,1,1,CKING
501774,2,1,MMDA
501774,3,1,MMDA
501817,1,1,CKING
501817,2,1,SVG
501817,3,1,CD
501817,4,1,ATM
501817,5,1,ATM
501823,1,1,CKING
501823,2,1,SVG
501823,3,1,ATM
501823,4,1,HMEQLC
501823,5,1,PLOAN
501823,6,1,AUTO
501823,7,1,AUTO
501830,1,1,CKING
501830,2,1,MMDA
501830,3,1,CD
501830,4,1,IRA
501830,5,1,ATM
501830,6,1,ATM
501909,1,1,CKING
501909,2,1,SVG
501909,3,1,ATM
501909,4,1,CCRD
501909,5,1,CCRD
502039,1,1,SVG
502039,2,1,CD
502039,3,1,ATM
502039,4,1,ATM
502074,1,1,CKING
502074,2,1,MMDA
502074,3,1,ATM
502074,4,1,ATM
502114,1,1,CKING
502114,2,1,SVG
502114,3,1,CD
